DayOfWeek,DestAirportID,delay_chance
2,14679,0.18039772727272727
3,13487,0.17991169977924945
4,14747,0.17974971558589306
1,15016,0.17943548387096775
7,12266,0.17916260954235638
3,14908,0.17894736842105263
1,12173,0.1781818181818182
7,14122,0.17793594306049823
3,15376,0.17791411042944785
1,13487,0.17790055248618786
6,13891,0.17777777777777778
2,10821,0.17772215269086358
3,12339,0.17692307692307693
6,14307,0.17647058823529413
7,10792,0.17647058823529413
3,11057,0.17548278757346766
7,10140,0.1752988047808765
2,11433,0.17529039070749736
2,14893,0.1752021563342318
1,12266,0.17406440382941687
5,14747,0.17391304347826086
1,12191,0.17362637362637362
7,10821,0.17352941176470588
6,12191,0.17350157728706625
2,13232,0.17345597897503284
7,12954,0.1732283464566929
4,14869,0.1727891156462585
2,11193,0.17268041237113402
6,15016,0.17232375979112272
2,12892,0.17212121212121212
6,14100,0.17196261682242991
2,13198,0.17136659436008678
3,10299,0.17073170731707318
7,12889,0.17006802721088435
1,14747,0.17002237136465326
2,14107,0.17001545595054096
7,13244,0.16974169741697417
5,10800,0.1694915254237288
2,14635,0.16923076923076924
7,14683,0.1691842900302115
7,14307,0.16901408450704225
6,12892,0.1689847009735744
1,13495,0.16804407713498623
6,13303,0.16747967479674797
2,10800,0.16744186046511628
6,11057,0.16720604099244876
6,10721,0.16717325227963525
2,13303,0.16666666666666666
6,14570,0.16666666666666666
6,12266,0.16612377850162866
2,11057,0.16578947368421051
2,13204,0.1652989449003517
7,11193,0.16519174041297935
2,10299,0.1650485436893204
6,11618,0.16381766381766383
7,13303,0.16363636363636364
7,13495,0.16363636363636364
7,14869,0.16296296296296298
6,11298,0.16209034543844109
6,11292,0.16195372750642673
7,14107,0.16189759036144577
6,11433,0.1608876560332871
2,14908,0.16049382716049382
2,13487,0.16049382716049382
2,12266,0.16042267050912584
7,11298,0.16019417475728157
6,11042,0.1596958174904943
6,14122,0.15920398009950248
6,13851,0.15853658536585366
1,14908,0.15844155844155844
3,14869,0.15833333333333333
6,10397,0.15765509391007398
2,12889,0.15760869565217392
6,12889,0.15728155339805824
6,13204,0.15707434052757793
7,12173,0.15695067264573992
3,12173,0.15648854961832062
7,14747,0.1559202813599062
6,15304,0.15527950310559005
6,10821,0.15476190476190477
2,14831,0.15466666666666667
1,14869,0.1542483660130719
